Date,Open,High,Low,Close,Volume
2010-07-23,648.8,650.6,639.0,646.2,22603394.0
2010-07-26,647.9,649.3,641.3,649.3,16066846.0
2010-07-27,647.7,668.7,646.0,666.3,55018454.0
2010-07-28,666.0,677.8,661.5,663.3,38302860.0
2010-07-29,663.2,670.9,656.1,656.3,21128364.0
2010-07-30,656.0,660.4,646.0,646.0,33693770.0
2010-08-02,656.3,684.0,655.0,680.0,63409833.0
2010-08-03,670.0,672.3,663.0,671.4,40632616.0
2010-08-04,669.7,673.8,658.2,672.0,36734323.0
2010-08-05,670.0,676.1,667.6,669.0,25098969.0
2010-08-06,669.5,675.0,658.8,661.4,21914940.0
2010-08-09,665.1,674.3,664.0,670.7,17710304.0
2010-08-10,668.0,671.9,663.8,670.0,17127337.0
2010-08-11,667.0,670.0,655.9,657.5,26104393.0
2010-08-12,651.8,665.0,650.0,661.3,27628720.0
2010-08-13,664.3,664.6,645.3,652.9,23874643.0
2010-08-16,657.1,659.3,648.0,654.5,16939283.0
2010-08-17,654.6,669.0,653.8,667.7,17536261.0
2010-08-18,660.9,660.9,652.8,652.8,18881949.0
2010-08-19,658.2,658.5,634.0,635.5,28873952.0
2010-08-20,640.0,642.0,626.7,634.2,25787905.0
2010-08-23,636.0,642.9,632.8,639.2,19226206.0
2010-08-24,638.6,639.2,623.6,629.9,29303056.0
2010-08-25,632.3,638.3,626.0,631.5,25512892.0
2010-08-26,635.7,637.7,627.7,632.9,17084540.0
2010-08-27,632.4,638.6,627.7,637.0,17465973.0
2010-08-31,630.0,644.3,629.1,643.7,35875964.0
2010-09-01,642.4,653.0,636.4,652.0,31107212.0
2010-09-02,651.1,655.0,646.9,652.0,18209483.0
2010-09-03,651.5,662.1,649.3,654.4,21617761.0
2010-09-06,659.5,665.5,657.3,662.8,14529960.0
2010-09-07,661.5,665.5,659.0,662.4,21714400.0
2010-09-08,658.5,659.5,648.5,654.8,25033455.0
2010-09-09,655.0,666.0,652.0,661.6,25781146.0
2010-09-10,661.8,665.4,654.5,661.57,22707227.0
2010-09-13,672.0,682.8,668.0,677.9,24288569.0
