Date,Price,High,Low,Volume,Last Close,Change,Var%
2012-05-31,176.3,,,40794638.0,176.3,,
2012-06-01,173.5,,,37798459.0,173.5,,
2012-06-06,187.8,,,53403092.0,187.8,,
2012-06-07,192.85,,,45300984.0,192.85,,
2012-06-08,190.35,,,26563046.0,190.35,,
2012-06-11,190.55,,,36522001.0,190.55,,
2012-06-12,189.75,,,34087380.0,189.75,,
2012-06-13,188.3,,,32484094.0,188.3,,
2012-06-14,192.75,,,36021676.0,192.75,,
2012-06-15,200.8,,,72993626.0,200.8,,
2012-06-18,196.05,,,38973747.0,196.05,,
2012-06-19,200.6,,,29983346.0,200.6,,
2012-06-20,205.75,,,44888611.0,205.75,,
2012-06-21,202.3,,,28861916.0,202.3,,
2012-06-22,200.7,,,21070838.0,200.7,,
2012-06-25,194.25,,,28235684.0,194.25,,
2012-06-26,192.4,,,21272603.0,192.4,,
2012-06-27,196.05,,,37116675.0,196.05,,
2012-06-28,165.6,,,163988824.0,165.6,,
2012-06-29,162.85,,,110650447.0,162.85,,
2012-07-02,168.4,,,71779709.0,168.4,,
2012-07-03,167.05,,,94796183.0,167.05,,
2012-07-04,166.0,,,35626409.0,166.0,,
2012-07-05,168.2,,,51905332.0,168.2,,
2012-07-06,164.75,,,39671412.0,164.75,,
2012-07-09,163.4,,,33567348.0,163.4,,
2012-07-10,167.0,,,27337172.0,167.0,,
2012-07-11,164.65,,,28378291.0,164.65,,
2012-07-12,163.5,,,25549033.0,163.5,,
2012-07-13,162.15,,,34164379.0,162.15,,
2012-07-16,157.7,,,47165071.0,157.7,,
2012-07-17,159.0,,,32632498.0,159.0,,
2012-07-18,160.15,,,25039202.0,160.15,,
2012-07-19,164.25,,,27692614.0,164.25,,
2012-07-20,159.25,,,40184032.0,159.25,,
2012-07-23,152.55,,,45826787.0,152.55,,
2012-07-24,150.6,,,34384671.0,150.6,,
2012-07-25,150.55,,,31117027.0,150.55,,
2012-07-26,153.6,,,38748536.0,153.6,,
2012-07-27,167.0,,,64255148.0,167.0,,
2012-07-30,170.55,,,42039967.0,170.55,,
2012-07-31,168.0,,,33931926.0,168.0,,
2012-08-01,168.3,,,22226812.0,168.3,,
2012-08-02,162.3,,,45495035.0,162.3,,
2012-08-03,171.35,,,49167984.0,171.35,,
2012-08-06,177.2,,,31853470.0,177.2,,
2012-08-07,179.85,,,33072882.0,179.85,,
2012-08-08,178.95,,,21666329.0,178.95,,
2012-08-09,178.95,,,23993795.0,178.95,,
2012-08-10,183.4,,,41283347.0,183.4,,
2012-08-13,183.05,,,21917324.0,183.05,,
2012-08-14,185.75,,,29179029.0,185.75,,
2012-08-15,183.1,,,15532159.0,183.1,,
2012-08-16,186.2,,,20991615.0,186.2,,
2012-08-17,192.85,,,40510831.0,192.85,,
2012-08-20,190.9,,,40572873.0,190.9,,
2012-08-21,197.05,,,29346502.0,197.05,,
2012-08-22,194.15,,,25430172.0,194.15,,
2012-08-23,191.0,,,30169988.0,191.0,,
2012-08-24,187.2,,,40271957.0,187.2,,
2012-08-28,188.95,,,23274884.0,188.95,,
2012-08-29,186.35,,,24776760.0,186.35,,
2012-08-30,183.5,,,19966539.0,183.5,,
2012-08-31,183.25,,,33479069.0,183.25,,
2012-09-03,184.3,,,10151227.0,184.3,,
2012-09-04,181.25,,,25715423.0,181.25,,
2012-09-05,181.95,,,21492963.0,181.95,,
2012-09-06,193.05,,,45747970.0,193.05,,
2012-09-07,206.4,,,74061683.0,206.4,,
2012-09-10,207.75,,,44949928.0,207.75,,
2012-09-11,213.5,,,45338564.0,213.5,,
2012-09-12,217.0,,,54621339.0,217.0,,
2012-09-13,217.95,,,26424008.0,217.95,,
2012-09-14,229.05,,,99718282.0,229.05,,
2012-09-17,228.0,,,21081599.0,228.0,,
2012-09-18,225.4,,,47469040.0,225.4,,
2012-09-19,225.15,,,28012574.0,225.15,,
2012-09-20,222.05,,,31886736.0,222.05,,
2012-09-21,223.75,,,52075916.0,223.75,,
2012-09-24,220.25,,,18457913.0,220.25,,
2012-09-25,223.2,,,21425022.0,223.2,,
2012-09-26,213.65,,,38093609.0,213.65,,
2012-09-27,217.25,,,24466036.0,217.25,,
2012-09-28,214.85,,,29537683.0,214.85,,
2012-10-01,222.35,,,31116065.0,222.35,,
2012-10-02,220.75,,,32134654.0,220.75,,
2012-10-03,220.25,,,25350297.0,220.25,,
2012-10-04,222.55,,,23221556.0,222.55,,
2012-10-05,227.85,,,30035101.0,227.85,,
2012-10-08,222.35,,,17744100.0,222.35,,
2012-10-09,221.55,,,22060556.0,221.55,,
2012-10-10,222.0,,,29162414.0,222.0,,
2012-10-11,232.65,,,42657129.0,232.65,,
2012-10-12,232.2,,,51169051.0,232.2,,
2012-10-15,236.85,,,28820992.0,236.85,,
2012-10-16,246.1,,,46551105.0,246.1,,
2012-10-17,244.4,,,34082537.0,244.4,,
2012-10-18,240.7,,,50928629.0,240.7,,
2012-10-19,233.85,,,40621693.0,233.85,,
2012-10-22,235.4,,,21060997.0,235.4,,
2012-10-23,232.65,,,30061527.0,232.65,,
2012-10-24,229.9,,,33062159.0,229.9,,
2012-10-25,232.85,,,34889700.0,232.85,,
2012-10-26,232.5,,,24571089.0,232.5,,
2012-10-29,231.05,,,12875165.0,231.05,,
2012-10-30,238.8,,,22932352.0,238.8,,
2012-10-31,227.5,,,63356172.0,227.5,,
2012-11-01,239.25,,,48381681.0,239.25,,
2012-11-02,241.15,,,34431789.0,241.15,,
2012-11-05,237.5,,,18733135.0,237.5,,
2012-11-06,242.55,,,20217669.0,242.55,,
2012-11-07,235.85,,,44112282.0,235.85,,
2012-11-08,236.6,,,20751750.0,236.6,,
2012-11-09,230.15,,,37987802.0,230.15,,
2012-11-12,234.95,,,28160593.0,234.95,,
2012-11-13,237.3,,,29783656.0,237.3,,
2012-11-14,237.65,,,35292639.0,237.65,,
2012-11-15,239.25,,,40463791.0,239.25,,
2012-11-16,234.2,,,37938415.0,234.2,,
2012-11-19,249.75,,,54481231.0,249.75,,
2012-11-20,246.5,,,43527801.0,246.5,,
2012-11-21,248.85,,,35622927.0,248.85,,
2012-11-22,252.0,,,18778082.0,252.0,,
2012-11-23,254.2,,,19658878.0,254.2,,
2012-11-26,240.5,,,93631903.0,240.5,,
2012-11-27,243.65,,,33917768.0,243.65,,
2012-11-28,242.15,,,28696438.0,242.15,,
2012-11-29,244.6,,,28989728.0,244.6,,
2012-11-30,246.0,,,33062459.0,246.0,,
2012-12-03,244.4,,,21011115.0,244.4,,
2012-12-04,243.8,,,19661762.0,243.8,,
2012-12-05,246.4,,,22708648.0,246.4,,
2012-12-06,250.5,,,36298078.0,250.5,,
2012-12-07,251.55,,,20758440.0,251.55,,
2012-12-10,249.55,,,17201902.0,249.55,,
2012-12-11,248.95,,,15805678.0,248.95,,
2012-12-12,252.6,,,28372997.0,252.6,,
2012-12-13,254.1,,,37709481.0,254.1,,
2012-12-14,255.6,,,21731475.0,255.6,,
2012-12-17,256.9,,,19007027.0,256.9,,
2012-12-18,261.15,,,35869337.0,261.15,,
2012-12-19,266.55,,,39181555.0,266.55,,
2012-12-20,266.8,,,25828028.0,266.8,,
2012-12-21,263.0,,,45557456.0,263.0,,
2012-12-24,263.1,,,3602368.0,263.1,,
2012-12-27,265.2,,,15519182.0,265.2,,
2012-12-28,261.75,,,15658939.0,261.75,,
2012-12-31,262.4,,,6275301.0,262.4,,
2013-01-02,275.6,,,33574581.0,275.6,,
2013-01-03,276.0,,,23185370.0,276.0,,
2013-01-04,276.7,,,27263630.0,276.7,,
2013-01-07,287.2,,,46906268.0,287.2,,
2013-01-08,287.2,,,38531378.0,287.2,,
2013-01-09,294.75,,,40507469.0,294.75,,
2013-01-10,294.6,,,38986810.0,294.6,,
2013-01-11,299.65,,,45735319.0,299.65,,
2013-01-14,298.9,,,37269176.0,298.9,,
2013-01-15,295.4,,,43583366.0,295.4,,
2013-01-16,293.4,,,36687669.0,293.4,,
2013-01-17,296.05,,,29934067.0,296.05,,
2013-01-18,297.0,,,32998279.0,297.0,,
2013-01-21,297.4,,,22711841.0,297.4,,
2013-01-22,296.05,,,43504128.0,296.05,,
2013-01-23,296.0,,,45354836.0,296.0,,
2013-01-24,300.0,,,36669497.0,300.0,,
2013-01-25,300.7,,,37736073.0,300.7,,
2013-01-28,305.85,,,35555896.0,305.85,,
2013-01-29,300.9,,,50051075.0,300.9,,
2013-01-30,302.0,,,40308809.0,302.0,,
2013-01-31,301.0,,,63337910.0,301.0,,
2013-02-01,300.0,,,49099371.0,300.0,,
2013-02-04,291.5,,,65849819.0,291.5,,
2013-02-05,295.25,,,35731484.0,295.25,,
2013-02-06,295.45,,,25925131.0,295.45,,
2013-02-07,292.5,,,51905437.0,292.5,,
2013-02-08,298.6,,,35074062.0,298.6,,
2013-02-11,301.5,,,41611255.0,301.5,,
2013-02-12,327.35,,,138297761.0,327.35,,
2013-02-13,326.0,,,66433695.0,326.0,,
2013-02-14,319.0,,,52167654.0,319.0,,
2013-02-15,321.8,,,55872394.0,321.8,,
2013-02-18,320.2,,,38569317.0,320.2,,
2013-02-19,325.0,,,48122712.0,325.0,,
2013-02-20,319.95,,,43212385.0,319.95,,
2013-02-21,306.45,,,56877202.0,306.45,,
2013-02-22,307.0,,,36416607.0,307.0,,
2013-02-25,311.65,,,92962909.0,311.65,,
2013-02-26,297.0,,,93516064.0,297.0,,
2013-02-27,301.8,,,51319099.0,301.8,,
2013-02-28,307.0,,,45402546.0,307.0,,
2013-03-01,303.45,,,43374049.0,303.45,,
2013-03-04,300.4,,,29197516.0,300.4,,
2013-03-05,307.45,,,34794570.0,307.45,,
2013-03-06,302.15,,,32938107.0,302.15,,
2013-03-07,309.5,,,48998206.0,309.5,,
2013-03-08,318.6,,,52299124.0,318.6,,
2013-03-11,311.5,,,36444482.0,311.5,,
2013-03-12,313.15,,,31536744.0,313.15,,
2013-03-13,314.7,,,27456039.0,314.7,,
2013-03-14,317.9,,,41324516.0,317.9,,
2013-03-15,320.05,,,126240021.0,320.05,,
