Date,Open,High,Low,Close,Volume
2012-06-15,197.0,205.0,196.7,200.8,73102719
2012-06-18,205.4,208.85,194.55,194.7,38935531
2012-06-19,196.75,202.35,193.95,200.6,29995677
2012-06-20,199.85,206.5,199.05,205.75,28434769
2012-06-21,204.35,208.6,201.7,202.3,28859697
2012-06-22,198.3,204.9,195.74,200.7,21064476
2012-06-25,199.65,200.8,192.09,194.25,28235683
2012-06-26,191.4,195.69,189.7,192.4,21272602
2012-06-27,194.3,197.2,192.6,196.05,25544677
2012-06-28,196.9,198.85,160.75,165.6,163565085
2012-06-29,172.67,179.07,160.0,162.85,110676680
2012-07-02,163.45,172.24,156.6,168.4,71379219
2012-07-03,163.0,176.52,161.0,167.05,95085030
2012-07-04,167.5,170.57,163.55,166.0,35611888
2012-07-05,165.95,169.0,164.35,168.2,51707645
2012-07-06,167.6,169.68,161.9,164.75,39706246
2012-07-09,164.85,168.3,162.35,163.4,33569347
2012-07-10,164.0,168.35,162.78,167.0,27465666
2012-07-11,164.9,167.55,163.7,164.65,28378063
2012-07-12,163.0,166.36,162.5,163.5,25526517
2012-07-13,164.0,166.4,161.25,162.15,34001433
2012-07-16,162.65,163.5,155.9,157.7,47280525
2012-07-17,159.25,162.02,157.4,159.0,32912754
2012-07-18,159.8,161.64,157.05,160.15,25089648
2012-07-19,161.7,164.9,160.0,164.25,27428905
2012-07-20,163.4,164.57,158.3,159.25,40178498
2012-07-23,156.4,157.34,151.0,152.55,45713123
2012-07-24,153.55,155.45,149.92,150.6,35209965
2012-07-25,149.5,155.23,149.3,150.55,31125045
2012-07-26,150.1,155.96,148.2,153.6,38678454
2012-07-27,159.8,169.35,154.46,167.0,64379856
2012-07-30,168.8,173.86,167.25,170.55,42162525
2012-07-31,169.9,171.0,164.95,168.0,33931925
2012-08-01,167.55,170.31,165.85,168.3,22192940
2012-08-02,168.0,172.0,161.8,162.3,46164777
2012-08-03,162.5,173.02,160.95,171.35,49261890
2012-08-06,170.75,180.45,169.15,177.2,40134813
2012-08-07,177.45,180.82,173.16,179.85,33072329
2012-08-08,177.95,179.39,176.25,178.95,21663528
2012-08-09,179.7,182.2,177.98,178.95,23391451
2012-08-10,178.25,186.56,178.25,183.4,41281724
2012-08-13,183.0,186.8,181.2,183.05,20485174
2012-08-14,185.5,187.6,181.75,185.75,29167150
2012-08-15,184.95,185.65,182.25,183.1,15532158
2012-08-16,183.0,187.19,182.05,186.2,21058806
2012-08-17,186.9,194.08,186.67,192.85,40510532
2012-08-20,193.8,200.0,187.37,190.9,41424729
2012-08-21,192.3,198.65,192.1,197.05,29293309
2012-08-22,194.65,199.49,193.02,194.15,25438576
2012-08-23,195.65,199.02,190.5,191.0,29828744
2012-08-24,189.95,191.52,183.8,187.2,40178875
2012-08-28,186.55,191.52,186.1,188.95,23294883
2012-08-29,188.7,188.7,184.85,186.35,16839568
2012-08-30,184.3,185.66,182.44,183.5,20028112
2012-08-31,182.0,186.4,180.4,183.25,33523157
2012-09-03,182.3,185.55,181.6,184.3,10150862
2012-09-04,183.45,185.44,180.35,181.25,25877502
2012-09-05,180.6,183.83,178.8,181.95,22685194
2012-09-06,182.1,194.14,180.25,193.05,45746348
2012-09-07,197.3,207.25,194.05,206.4,72317393
